ESIDNumber,Latitude,Longitude,eclipse_type,coverage,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC
830,39.93093,-83.86388,Total,100,4/8/2024,17:54:08,19:09:58,19:12:44,20:25:57,19:11:21
833,30.22784,-97.89896,Total,100,4/8/2024,17:16:49,18:35:22,18:37:50,19:57:42,18:36:36
834,30.148453,-97.861088,Total,100,4/8/2024,17:16:43,18:35:40,18:37:23,19:57:40,18:36:32
835,39.56209,-84.74814,Total,100,4/8/2024,17:52:19,19:08:13,19:11:19,20:24:45,19:09:46
836,40.2268622,-82.9787107,Total,100,4/8/2024,17:55:51,19:11:52,19:13:51,20:27:05,19:12:52
841,45.52347,-73.56863,Total,100,4/8/2024,18:14:23,19:26:53,19:28:01,20:36:46,19:27:27
847,43.0539,-79.13847,Total,100,4/8/2024,18:04:38,19:18:06,19:21:37,20:31:49,19:19:52
849,41.60848,-82.68669,Total,100,4/8/2024,17:57:56,19:12:31,19:16:01,20:27:49,19:14:16
862,40.7270198,-81.9699569,Total,100,4/8/2024,17:57:59,19:13:36,19:15:43,20:28:23,19:14:40
863,44.773181,-71.128097,Total,100,4/8/2024,18:17:11,19:29:00,19:31:10,20:38:53,19:30:05
865,32.5413804,-97.2668452,Total,100,4/8/2024,17:22:05,18:39:40,18:43:08,20:01:34,18:41:24
870,41.407742,-71.8148763,Partial,89.8,4/8/2024,18:14:22,0,0,20:38:19,19:28:32
874,32.77622,-97.09121,Total,100,4/8/2024,17:22:47,18:40:27,18:43:39,20:02:06,18:42:03
876,36.77501,-90.93178,Total,100,4/8/2024,17:38:50,18:55:25,18:59:33,20:15:04,18:57:29
877,36.8068494,-90.5477812,Total,100,4/8/2024,17:39:28,18:56:01,19:00:13,20:15:38,18:58:07
878,36.8949341,-90.3967577,Total,100,4/8/2024,17:39:50,18:56:22,19:00:33,20:15:54,18:58:28
881,37.284,-89.1653,Total,100,4/8/2024,17:42:19,18:58:55,19:02:44,20:17:51,19:00:50
883,36.7894841,-90.41492,Total,100,4/8/2024,17:39:38,18:56:14,19:00:23,20:15:48,18:58:19
890,41.139588,-81.4442947,Total,100,4/8/2024,17:59:14,19:14:13,19:17:08,20:29:05,19:15:40
891,41.138799,-81.4425,Total,100,4/8/2024,17:59:14,19:14:13,19:17:08,20:29:05,19:15:41
901,40.96383,-81.55973,Total,100,4/8/2024,17:58:52,19:14:12,19:16:35,20:28:54,19:15:24
902,41.13541,-82.21573,Total,100,4/8/2024,17:58:04,19:12:44,19:16:27,20:28:14,19:14:36
903,41.01536,-81.35731,Total,100,4/8/2024,17:59:14,19:14:38,19:16:47,20:29:09,19:15:43
905,42.42045,-71.2371,Partial,92.99,4/8/2024,18:15:46,0:00:00,0:00:00,20:38:55,19:29:31
906,42.10508,-79.4981,Total,100,4/8/2024,18:03:10,19:17:17,19:20:31,20:31:21,19:18:54
907,44.5064115,-74.9499764,Total,100,4/8/2024,18:11:47,19:23:53,19:27:21,20:35:45,19:25:37
913,30.149681,-98.0432689,Total,100,4/8/2024,17:16:27,18:34:52,18:37:35,19:57:22,18:36:13
914,32.55141,-97.09196,Total,100,4/8/2024,17:22:21,18:39:48,18:43:36,20:01:51,18:41:42
916,43.07334702,-77.81481803,Total,100,4/8/2024,18:06:33,19:19:45,19:23:24,20:33:08,19:21:34
917,42.02661947,-74.18379146,Partial,95.03,4/8/2024,18:11:05,0,0,20:36:24,19:25:46
918,29.8022951,-98.3969175,Total,100,4/8/2024,17:15:16,18:33:46,18:36:19,19:56:19,18:35:03
919,43.99088,-69.63999,Partial,97.11,4/8/2024,18:18:50,0,0,20:40:07,19:31:39
920,43.18657,-77.75444,Total,100,4/8/2024,18:06:44,19:19:51,19:23:33,20:33:11,19:21:42
922,44.347197,-72.993761,Total,100,4/8/2024,18:14:22,19:26:30,19:29:15,20:37:26,19:27:53
923,38.03153,-78.52409,Partial,86.49,4/8/2024,18:00:52,0,0,20:30:54,19:17:42
926,43.5687744,-71.7461471,Partial,97.73,4/8/2024,18:15:39,0,0,20:38:31,19:29:10
928,30.5624642,-97.7755493,Total,100,4/8/2024,17:17:37,18:35:41,18:39:03,19:58:21,18:37:22
929,38.49779,-88.26842,Total,100,4/8/2024,17:45:30,19:01:31,19:05:30,20:19:48,19:03:30
930,38.48962,-88.25138,Total,100,4/8/2024,17:45:31,19:01:31,19:05:31,20:19:49,19:03:32
933,42.62369369,-78.5394427,Total,100,4/8/2024,18:05:04,19:18:42,19:22:10,20:32:23,19:20:26
936,41.53953,-81.32313,Total,100,4/8/2024,17:59:52,19:14:15,19:17:57,20:29:18,19:16:06
937,36.97123,-90.2074,Total,100,4/8/2024,17:40:14,18:56:46,19:00:56,20:16:13,18:58:51
938,41.32766,-85.69758,Partial,98.66,4/8/2024,17:53:15,0,0,20:24:13,19:09:51
940,30.671389,-96.301389,Partial,98.7,4/8/2024,17:20:03,0,0,20:00:50,18:40:01
945,41.4565013,-81.2047232,Total,100,4/8/2024,17:59:57,19:14:28,19:17:57,20:29:25,19:16:13
948,41.6651,-83.6749,Total,100,4/8/2024,17:56:34,19:12:28,19:13:25,20:26:42,19:12:56
953,39.403308,-86.315939,Total,100,4/8/2024,17:49:43,19:05:18,19:09:20,20:22:45,19:07:19
960,34.756604,-92.429643,Total,100,4/8/2024,17:33:14,18:51:01,18:54:02,20:11:15,18:52:32
961,33.21220014,-96.58427877,Total,100,4/8/2024,17:24:19,18:42:00,18:45:07,20:03:23,18:43:33
962,37.60759,-89.2466,Total,100,4/8/2024,17:42:41,18:58:59,19:03:08,20:17:57,19:01:04
250,34.4178785,-93.6197584,Total,100,4/8/2024,17:30:50,18:48:03,18:52:13,20:09:11,18:50:08
273,41.9648063,-79.9970364,Total,100,4/8/2024,18:02:17,19:16:27,19:19:51,20:30:48,19:18:09
276,38.587155,-84.256807,Partial,97.96,4/8/2024,17:51:51,0,0,20:24:52,19:09:38
284,42.12224,-71.40834,Partial,92.05,4/8/2024,18:15:22,0,0,20:38:45,19:29:14
293,37.484,-89.353,Total,100,4/8/2024,17:42:20,18:58:42,19:02:50,20:17:44,19:00:46
303,42.32642,-85.56653,Partial,95.81,4/8/2024,17:54:47,0,0,20:24:35,19:10:48
306,44.88729,-93.4491,Partial,73.88,4/8/2024,17:49:14,0,0,20:14:22,19:02:12
314,37.86796,-89.97304,Total,100,4/8/2024,17:42:00,18:58:37,19:01:51,20:17:08,19:00:14
327,35.2894316,-82.7642812,Partial,84.01,4/8/2024,17:50:29,0,0,20:24:18,19:08:49
331,44.7151375,-67.4658051,Partial,97.69,4/8/2024,18:22:07,0,0,20:41:34,19:34:03
332,46.86885,-68.007957,Total,100,4/8/2024,18:22:15,19:32:25,19:34:31,20:40:36,19:33:28
336,44.41651281,-70.06339023,Partial,98.92,4/8/2024,18:18:27,0,0,20:39:45,19:31:13
337,46.6848,-67.87248,Total,100,4/8/2024,18:22:20,19:32:10,19:35:03,20:40:45,19:33:36
339,46.1308,-67.82575,Total,100,4/8/2024,18:22:10,19:32:01,19:35:19,20:40:58,19:33:40
344,42.755781,-72.273754,Partial,95.42,4/8/2024,18:14:25,0,0,20:38:06,19:28:21
347,39.71116,-83.85999,Total,100,4/8/2024,17:53:52,19:10:32,19:11:50,20:25:52,19:11:11
363,43.246351,-78.709993,Total,100,4/8/2024,18:05:26,19:18:46,19:22:14,20:32:15,19:20:30
368,42.8751215,-78.7845108,Total,100,4/8/2024,18:04:58,19:18:21,19:22:07,20:32:09,19:20:14
370,42.97896,-77.90236,Total,100,4/8/2024,18:06:20,19:19:37,19:23:13,20:33:02,19:21:25
376,40.877923,-81.3836563,Total,100,4/8/2024,17:59:02,19:15:05,19:16:05,20:29:05,19:15:35
378,40.7267496,-84.1969452,Total,100,4/8/2024,17:54:38,19:09:36,19:13:25,20:25:50,19:11:30
379,40.3824626,-82.2925037,Partial,99.97,4/8/2024,17:57:05,0,0,20:27:55,19:13:57
382,40.05753,-82.87494,Partial,99.91,4/8/2024,17:55:49,0,0,20:27:08,19:12:53
386,41.55179,-84.36058,Partial,99.74,4/8/2024,17:55:27,0,0,20:25:52,19:11:54
387,39.0961846,-84.2605954,Partial,99.38,4/8/2024,17:52:29,0,0,20:25:07,19:10:05
394,41.56039,-81.41947,Total,100,4/8/2024,17:59:44,19:14:06,19:17:52,20:29:12,19:15:59
399,39.7174127,-84.1697339,Total,100,4/8/2024,17:53:24,19:09:29,19:11:59,20:25:30,19:10:44
404,39.88126,-84.03071,Total,100,4/8/2024,17:53:49,19:09:37,19:12:32,20:25:44,19:11:04
414,41.1929515,-81.3600868,Total,100,4/8/2024,17:59:25,19:14:20,19:17:18,20:29:11,19:15:49
445,31.3897866,-97.258821,Total,100,4/8/2024,17:19:56,18:37:31,18:41:39,20:00:13,18:39:35
465,38.8849078,-77.1059869,Partial,87.43,4/8/2024,18:04:02,0,0,20:32:45,19:20:19
466,44.5110415,-73.047787,Total,100,4/8/2024,18:04:02,0,0,20:32:45,19:20:19
477,41.0243581,-81.4439091,Total,100,4/8/2024,17:59:06,19:14:23,19:16:48,20:29:03,19:15:36
496,44.7458793,-72.9912134,Total,100,4/8/2024,18:14:38,19:26:13,19:29:43,20:37:23,19:27:58
509,41.6658722,-81.3504124,Total,100,4/8/2024,17:59:58,19:14:14,19:18:03,20:29:18,19:16:09
530,37.2829,-89.165,Total,100,4/8/2024,17:42:19,18:58:55,19:02:44,20:17:51,19:00:50
772,40.398417,-82.416478,Total,100,4/8/2024,17:56:55,19:13:17,19:14:18,20:27:47,19:13:48
794,39.806336,-84.9721271,Total,100,4/8/2024,17:52:17,19:07:43,19:11:34,20:24:35,19:09:39
795,39.836701,-84.838096,Total,100,4/8/2024,17:52:32,19:07:58,19:11:46,20:24:45,19:09:52
808,44.4778,-72.9859,Total,100,4/8/2024,18:14:28,19:26:21,19:29:28,20:37:26,19:27:55
837,39.81412,-84.36908,Total,100,4/8/2024,17:53:13,19:08:54,19:12:09,20:25:18,19:10:32
838,45.26248137,-69.17431401,Total,100,4/8/2024,18:20:03,19:31:19,19:33:12,20:40:16,19:32:16
839,45.177662,-72.71201,Total,100,4/8/2024,18:15:17,19:26:39,19:30:04,20:37:33,19:28:22
842,29.8577,-98.1949,Total,100,4/8/2024,17:15:40,18:34:36,18:36:22,19:56:44,18:35:29
843,44.7284033,-72.7542825,Total,100,4/8/2024,18:14:56,19:26:32,19:29:56,20:37:35,19:28:14
846,23.2487036,-106.449954,Total,100,4/8/2024,16:51:19,18:07:22,18:11:36,19:32:01,18:09:29
850,30.44139,-99.80474,Total,100,4/8/2024,17:14:30,18:32:13,18:35:22,19:54:50,18:33:47
895,34.57056,-94.27029,Total,100,4/8/2024,17:30:08,18:47:15,18:51:20,20:08:21,18:49:18
900,31.057,-97.9195,Total,100,4/8/2024,17:18:21,18:35:46,18:40:07,19:58:44,18:37:56
910,42.8435434,-76.9886943,Total,100,4/8/2024,18:07:32,19:21:25,19:23:39,20:33:55,19:22:32
912,42.0729086,-71.450002,Partial,91.91,4/8/2024,18:15:17,0,0,20:38:43,19:29:10
921,37.69564,-89.31541,Total,100,4/8/2024,17:42:43,18:58:59,19:03:07,20:17:55,19:01:03
944,40.6076191,-82.3056,Total,100,4/8/2024,17:57:20,19:12:56,19:15:16,20:27:58,19:14:06
952,29.5291458,-99.6894972,Total,100,4/8/2024,17:12:52,18:30:12,18:34:37,19:53:49,18:32:25
957,42.4540743,-79.3371685,Total,100,4/8/2024,18:03:45,19:17:27,19:21:09,20:31:33,19:19:18
958,44.69318,-73.29719,Total,100,4/8/2024,18:14:10,19:25:50,19:29:22,20:37:09,19:27:36
656,40.10586,-88.2015,Partial,98.32,4/8/2024,17:47:59,0:00:00,0:00:00,20:20:38,19:05:12
657,37.48431,-89.089,Total,100,4/8/2024,17:42:44,18:59:10,19:03:11,20:18:05,19:01:10
659,38.44125,-90.1341,Partial,99.61,4/8/2024,17:42:40,0:00:00,0:00:00,20:17:15,19:00:37
660,37.62845,-89.0032,Total,100,4/8/2024,17:43:05,18:59:25,19:03:30,20:18:18,19:01:28
661,41.36841,-88.202,Partial,94.46,4/8/2024,17:49:51,0:00:00,0:00:00,20:21:04,19:06:20
662,39.31745,-89.747,Partial,98.01,4/8/2024,17:44:36,0:00:00,0:00:00,20:18:14,19:02:08
664,37.67213,-88.1794,Total,100,4/8/2024,17:44:25,19:01:08,19:04:26,20:19:25,19:02:47
665,39.77373,-87.0203,Total,100,4/8/2024,17:49:12,19:05:22,19:07:51,20:22:02,19:06:37
666,37.65459,-89.1693,Total,100,4/8/2024,17:42:52,18:59:10,19:03:18,20:18:05,19:01:14
667,37.57629,-88.9146,Total,100,4/8/2024,17:43:08,18:59:33,19:03:32,20:18:23,19:01:32
668,37.62061,-88.6159,Total,100,4/8/2024,17:43:40,19:00:09,19:03:57,20:18:49,19:02:03
669,37.72196,-89.2368,Total,100,4/8/2024,17:42:52,18:59:08,19:03:16,20:18:03,19:01:12
670,37.61979,-88.8876,Total,100,4/8/2024,17:43:15,18:59:37,19:03:38,20:18:27,19:01:38
671,37.4445,-89.2074,Total,100,4/8/2024,17:42:30,18:58:55,19:02:58,20:17:54,19:00:57
673,40.20544,-90.4037,Partial,94.14,4/8/2024,17:45:06,0:00:00,0:00:00,20:17:44,19:02:04
674,40.35665,-88.9752,Partial,96.27,4/8/2024,17:47:16,0:00:00,0:00:00,20:19:43,19:04:18
675,37.7226,-89.2305,Total,100,4/8/2024,17:42:53,18:59:09,19:03:17,20:18:03,19:01:13
676,38.1051,-90.0979,Total,100,4/8/2024,17:42:11,18:59:29,19:01:07,20:17:06,19:00:18
677,39.64256,-89.6587,Partial,97.22,4/8/2024,17:45:14,0:00:00,0:00:00,20:18:30,19:02:36
678,37.78371,-88.5227,Total,100,4/8/2024,17:44:03,19:00:24,19:04:20,20:19:02,19:02:22
679,41.78628,-87.9255,Partial,93.6,4/8/2024,17:50:50,0:00:00,0:00:00,20:21:32,19:07:06
680,37.95823,-88.6507,Total,100,4/8/2024,17:44:07,19:00:18,19:04:25,20:18:58,19:02:22
681,37.67215,-89.2631,Total,100,4/8/2024,17:42:45,18:59:02,19:03:11,20:17:59,19:01:07
682,40.55217,-89.6416,Partial,94.47,4/8/2024,17:46:40,0:00:00,0:00:00,20:18:54,19:03:31
683,39.00586,-87.7389,Total,100,4/8/2024,17:47:02,19:02:59,19:06:39,20:20:45,19:04:49
684,37.7246,-89.2454,Total,100,4/8/2024,17:42:52,18:59:07,19:03:16,20:18:02,19:01:12
685,37.83484,-89.3815,Total,100,4/8/2024,17:42:50,18:59:06,19:03:07,20:17:55,19:01:06
686,37.77625,-89.378,Total,100,4/8/2024,17:42:45,18:59:01,19:03:05,20:17:53,19:01:03
688,40.53005,-90.2607,Partial,93.39,4/8/2024,17:45:48,0:00:00,0:00:00,20:18:03,19:02:36
689,37.52483,-88.8577,Total,100,4/8/2024,17:43:09,18:59:38,19:03:31,20:18:26,19:01:34
690,37.63287,-89.2328,Total,100,4/8/2024,17:42:45,18:59:02,19:03:11,20:18:00,19:01:07
691,39.79936,-89.6436,Partial,96.78,4/8/2024,17:45:29,0:00:00,0:00:00,20:18:36,19:02:47
692,41. 888649,-87. 787453,Partial,97.64,4/8/2024,17:50:58,0:00:00,0:00:00,20:22:30,19:07:44
693,37.61196,-89.2399,Total,100,4/8/2024,17:42:42,18:59:00,19:03:09,20:17:58,19:01:05
694,40.63586,-89.5118,Partial,94.44,4/8/2024,17:46:58,0:00:00,0:00:00,20:19:06,19:03:47
695,38.02764,-89.0128,Total,100,4/8/2024,17:43:41,18:59:52,19:03:54,20:18:32,19:01:53
696,40.86539,-90.3474,Partial,92.17,4/8/2024,17:46:13,0:00:00,0:00:00,20:18:03,19:02:48
698,42.5542,-90.6961,Partial,86.14,4/8/2024,17:48:29,0:00:00,0:00:00,20:18:00,19:03:53
699,40.72644,-89.5041,Partial,94.17,4/8/2024,17:47:07,0:00:00,0:00:00,20:19:09,19:03:53
700,37.71174,-89.2772,Total,100,4/8/2024,17:42:48,18:59:04,19:03:12,20:17:59,19:01:08
701,39.17556,-89.5022,Partial,98.79,4/8/2024,17:44:43,0:00:00,0:00:00,20:18:30,19:02:21
703,37.71623,-89.2283,Total,100,4/8/2024,17:42:53,18:59:08,19:03:17,20:18:03,19:01:13
704,39.7379,-90.4375,Partial,95.52,4/8/2024,17:44:18,0:00:00,0:00:00,20:17:29,19:01:32
705,40.69299,-89.7884,Partial,93.75,4/8/2024,17:46:41,0:00:00,0:00:00,20:18:45,19:03:27
706,37.45517,-89.2612,Total,100,4/8/2024,17:42:26,18:58:50,19:02:55,20:17:50,19:00:52
707,37.70528,-89.3763,Total,100,4/8/2024,17:42:38,18:58:55,19:03:02,20:17:51,19:00:58
710,40.69459,-89.5904,Partial,94.11,4/8/2024,17:46:57,0:00:00,0:00:00,20:19:01,19:03:44
711,41.91337,-88.3156,Partial,92.51,4/8/2024,17:50:31,0:00:00,0:00:00,20:21:03,19:06:39
712,38.25294,-88.8548,Total,100,4/8/2024,17:44:15,19:00:25,19:04:18,20:18:53,19:02:22
713,40.56619,-89.5848,Partial,94.53,4/8/2024,17:46:46,0:00:00,0:00:00,20:18:59,19:03:37
715,37.71448,-88.8388,Total,100,4/8/2024,17:43:28,18:59:46,19:03:50,20:18:34,19:01:49
716,37.72528,-89.2167,Total,100,4/8/2024,17:42:54,18:59:10,19:03:18,20:18:04,19:01:14
718,40.68258,-89.5438,Partial,94.24,4/8/2024,17:47:00,0:00:00,0:00:00,20:19:05,19:03:47
719,40.70346,-89.4037,Partial,94.43,4/8/2024,17:47:13,0:00:00,0:00:00,20:19:16,19:04:01
720,38.1051,-90.0979,Total,100,4/8/2024,17:42:11,18:59:29,19:01:07,20:17:06,19:00:18
721,38.40348,-90.1091,Partial,99.72,4/8/2024,17:42:39,0:00:00,0:00:00,20:17:16,19:00:37
724,37.60776,-89.2388,Total,100,4/8/2024,17:42:42,18:59:00,19:03:09,20:17:58,19:01:04
726,38.54339,-89.0925,Total,100,4/8/2024,17:44:21,19:00:57,19:03:40,20:18:43,19:02:18
727,40.42623,-90.0291,Partial,94.15,4/8/2024,17:45:57,0:00:00,0:00:00,20:18:20,19:02:50
728,38.91429,-90.0384,Partial,98.63,4/8/2024,17:43:33,0:00:00,0:00:00,20:17:38,19:01:16
729,41.44734,-88.7624,Partial,93.22,4/8/2024,17:49:13,0:00:00,0:00:00,20:20:21,19:05:37
730,40.73498,-89.5552,Partial,94.05,4/8/2024,17:47:04,0:00:00,0:00:00,20:19:05,19:03:49
732,37.24242,-89.1192,Total,100,4/8/2024,17:42:19,18:59:01,19:02:42,20:17:53,19:00:51
733,37.68828,-89.1277,Total,100,4/8/2024,17:42:59,18:59:16,19:03:24,20:18:10,19:01:20
735,37.67178,-89.261,Total,100,4/8/2024,17:42:46,18:59:02,19:03:11,20:17:59,19:01:07
736,37.71765,-89.2346,Total,100,4/8/2024,17:42:52,18:59:08,19:03:16,20:18:03,19:01:12
738,37.72284,-89.3517,Total,100,4/8/2024,17:42:42,18:58:58,19:03:05,20:17:53,19:01:02
739,37.72528,-89.2167,Total,100,4/8/2024,17:42:54,18:59:10,19:03:18,20:18:04,19:01:14
740,37.75332,-89.0672,Total,100,4/8/2024,17:43:11,18:59:26,19:03:34,20:18:17,19:01:30
741,37.71643,-89.3765,Total,100,4/8/2024,17:42:39,18:58:56,19:03:02,20:17:51,19:00:59
747,37.67464,-89.2656,Total,100,4/8/2024,17:42:45,18:59:02,19:03:11,20:17:58,19:01:06
748,38.61252,-90.3128,Partial,98.97,4/8/2024,17:42:41,0:00:00,0:00:00,20:17:06,19:00:32
749,40.609,-89.37,Partial,94.78,4/8/2024,17:47:07,0:00:00,0:00:00,20:19:17,19:03:58
797,40.61,-89.37,Partial,94.78,4/8/2024,17:47:07,0:00:00,0:00:00,20:19:17,19:03:58
798,37.71831,-88.1858,Total,100,4/8/2024,17:44:28,19:01:06,19:04:32,20:19:26,19:02:49
803,37.53652,-89.2003,Total,100,4/8/2024,17:42:39,18:59:00,19:03:07,20:17:58,19:01:03
845,38.640373,-89.097176,Total,100,4/8/2024,17:44:29,19:01:18,19:03:30,20:18:46,19:02:24
962,37.60759,-89.2466,Total,100,4/8/2024,17:42:41,18:58:59,19:03:08,20:17:57,19:01:04
