com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Brazilian Tanager,Ramphocelus bresilius,Ramphocelus bresilius,Ramphocelus bresilius,0,
Cliff Flycatcher,Hirundinea ferruginea,Hirundinea ferruginea,Hirundinea ferruginea,0,
Thick-billed Saltator,Saltator maxillosus,Saltator maxillosus,Saltator maxillosus,0,
Green-headed Tanager,Tangara seledon,Tangara seledon,Tangara seledon,0,
Brown-breasted Pygmy-Tyrant,Hemitriccus obsoletus,Hemitriccus obsoletus,Hemitriccus obsoletus,0,
Eared Pygmy-Tyrant,Myiornis auricularis,Myiornis auricularis,Myiornis auricularis,0,
Gilded Hummingbird,Hylocharis chrysura,Hylocharis chrysura,Hylocharis chrysura,0,
Yellow-bellied Seedeater,Sporophila nigricollis,Sporophila nigricollis,Sporophila nigricollis,0,
African Gray Hornbill,Lophoceros nasutus,Tockus nasutus,Lophoceros nasutus,0,
Mariqua Sunbird,Cinnyris mariquensis,Nectarinia mariquensis,Cinnyris mariquensis,0,
White-breasted Sunbird,Cinnyris talatala,Nectarinia talatala,Cinnyris talatala,0,
African Pygmy-Kingfisher,Ispidina picta,Ceyx pictus,Ispidina picta,0,
Pygmy Sunbird,Hedydipna platura,Anthreptes platurus,Hedydipna platura,0,
Variable Sunbird,Cinnyris venustus,Nectarinia venusta,Cinnyris venustus,0,
Scarlet-chested Sunbird,Chalcomitra senegalensis,Nectarinia senegalensis,Chalcomitra senegalensis,0,
Natal Francolin,Pternistis natalensis,Francolinus natalensis,Pternistis natalensis,0,
Lesser Goldfinch,Spinus psaltria,Carduelis psaltria,Spinus psaltria,0,
Roadside Hawk,Rupornis magnirostris,Buteo magnirostris,Rupornis magnirostris,0,
Coppersmith Barbet,Psilopogon haemacephalus,Megalaima haemacephala,Psilopogon haemacephalus,0,
Olive-backed Sunbird,Cinnyris jugularis,Nectarinia jugularis,Cinnyris jugularis,0,
Purple-throated Sunbird,Leptocoma sperata,Nectarinia sperata,Leptocoma sperata,0,
Purple Sunbird,Cinnyris asiaticus,Nectarinia asiatica,Cinnyris asiaticus,0,
Eurasian Siskin,Spinus spinus,Carduelis spinus,Spinus spinus,0,
Caspian Tern,Hydroprogne caspia,Sterna caspia,Hydroprogne caspia,0,
European Greenfinch,Chloris chloris,Carduelis chloris,Chloris chloris,0,
Eurasian Linnet,Linaria cannabina,Carduelis cannabina,Linaria cannabina,0,
Red-rumped Swallow,Cecropis daurica,Hirundo daurica,Cecropis daurica,0,
Eurasian Crag-Martin,Ptyonoprogne rupestris,Hirundo rupestris,Ptyonoprogne rupestris,0,
Iberian Green Woodpecker,Picus sharpei,Picus viridis,Picus sharpei,0,
Lesser Spotted Woodpecker,Dryobates minor,Dendrocopos minor,Dryobates minor,0,
Eurasian Wigeon,Mareca penelope,Anas penelope,Mareca penelope,0,
Great Egret,Ardea alba,Casmerodius albus,Ardea alba,0,
Corn Bunting,Emberiza calandra,Miliaria calandra,Emberiza calandra,0,
Northern Shoveler,Spatula clypeata,Anas clypeata,Spatula clypeata,0,
Common Redpoll,Acanthis flammea,Carduelis flammea,Acanthis flammea,0,
Colombian Chachalaca,Ortalis columbiana,Ortalis guttata,Ortalis columbiana,0,
Mexican Chickadee,Poecile sclateri,Parus sclateri,Poecile sclateri,0,
Eastern Olivaceous Warbler,Iduna pallida,Hippolais pallida,Iduna pallida,0,
Ruff,Calidris pugnax,Philomachus pugnax,Calidris pugnax,0,
Sandwich Tern,Thalasseus sandvicensis,Sterna sandvicensis,Thalasseus sandvicensis,0,
Twite,Linaria flavirostris,Carduelis flavirostris,Linaria flavirostris,0,
Hazel Grouse,Tetrastes bonasia,Bonasa bonasia,Tetrastes bonasia,0,
Broad-billed Sandpiper,Calidris falcinellus,Limicola falcinellus,Calidris falcinellus,0,
Copper-rumped Hummingbird,Saucerottia tobaci,Amazilia tobaci,Saucerottia tobaci,0,
Black Honeyeater,Sugomel nigrum,Certhionyx niger,Sugomel nigrum,0,
Thick-billed Longspur,Rhynchophanes mccownii,Calcarius mccownii,Rhynchophanes mccownii,0,
Mountain Bulbul,Ixos mcclellandii,Hypsipetes mcclellandii,Ixos mcclellandii,0,
Abert's Towhee,Melozone aberti,Pipilo aberti,Melozone aberti,0,
House Finch,Haemorhous mexicanus,Carpodacus mexicanus,Haemorhous mexicanus,0,
Ladder-backed Woodpecker,Dryobates scalaris,Picoides scalaris,Dryobates scalaris,0,
Lucy's Warbler,Leiothlypis luciae,Vermivora luciae,Leiothlypis luciae,0,
Pine Siskin,Spinus pinus,Carduelis pinus,Spinus pinus,0,
Rufous-winged Sparrow,Peucaea carpalis,Aimophila carpalis,Peucaea carpalis,0,
Yellow-rumped Warbler,Setophaga coronata,Dendroica coronata,Setophaga coronata,0,
Mexican Jay,Aphelocoma wollweberi,Aphelocoma ultramarina,Aphelocoma wollweberi,0,
Mountain Chickadee,Poecile gambeli,Parus gambeli,Poecile gambeli,0,
Orange-crowned Warbler,Leiothlypis celata,Vermivora celata,Leiothlypis celata,0,
Wilson's Warbler,Cardellina pusilla,Wilsonia pusilla,Cardellina pusilla,0,
Yellow Warbler,Setophaga petechia,Dendroica petechia,Setophaga petechia,0,
Snow Goose,Anser caerulescens,Chen caerulescens,Anser caerulescens,0,
American Goldfinch,Spinus tristis,Carduelis tristis,Spinus tristis,0,
Canyon Towhee,Melozone fusca,Pipilo fuscus,Melozone fusca,0,
American Wigeon,Mareca americana,Anas americana,Mareca americana,0,
Townsend's Warbler,Setophaga townsendi,Dendroica townsendi,Setophaga townsendi,0,
Flammulated Owl,Psiloscops flammeolus,Otus flammeolus,Psiloscops flammeolus,1,
Nuttall's Woodpecker,Dryobates nuttallii,Picoides nuttallii,Dryobates nuttallii,0,
Black-throated Gray Warbler,Setophaga nigrescens,Dendroica nigrescens,Setophaga nigrescens,0,
MacGillivray's Warbler,Geothlypis tolmiei,Oporornis tolmiei,Geothlypis tolmiei,0,
California Towhee,Melozone crissalis,Pipilo crissalis,Melozone crissalis,0,
Chestnut-backed Chickadee,Poecile rufescens,Parus rufescens,Poecile rufescens,0,
Purple Finch,Haemorhous purpureus,Carpodacus purpureus,Haemorhous purpureus,0,
Varied Thrush,Ixoreus naevius,Zoothera naevia,Ixoreus naevius,0,
Lawrence's Goldfinch,Spinus lawrencei,Carduelis lawrencei,Spinus lawrencei,0,
Downy Woodpecker,Dryobates pubescens,Picoides pubescens,Dryobates pubescens,0,
Black-capped Chickadee,Poecile atricapillus,Parus atricapillus,Poecile atricapillus,0,
Blue-winged Teal,Spatula discors,Anas discors,Spatula discors,0,
Cassin's Finch,Haemorhous cassinii,Carpodacus cassinii,Haemorhous cassinii,0,
Elegant Tern,Thalasseus elegans,Sterna elegans,Thalasseus elegans,0,
Hooded Warbler,Setophaga citrina,Wilsonia citrina,Setophaga citrina,0,
Northern Waterthrush,Parkesia noveboracensis,Seiurus noveboracensis,Parkesia noveboracensis,0,
Sinaloa Wren,Thryophilus sinaloa,Thryothorus sinaloa,Thryophilus sinaloa,0,
Red-masked Parakeet,Psittacara erythrogenys,Aratinga erythrogenys,Psittacara erythrogenys,0,
Bell's Sparrow,Artemisiospiza belli,Amphispiza belli,Artemisiospiza belli,0,
Chuck-will's-widow,Antrostomus carolinensis,Caprimulgus carolinensis,Antrostomus carolinensis,1,
Eastern Whip-poor-will,Antrostomus vociferus,Caprimulgus vociferus,Antrostomus vociferus,1,
Bay-breasted Warbler,Setophaga castanea,Dendroica castanea,Setophaga castanea,0,
Blackpoll Warbler,Setophaga striata,Dendroica striata,Setophaga striata,0,
Cape May Warbler,Setophaga tigrina,Dendroica tigrina,Setophaga tigrina,0,
Tennessee Warbler,Leiothlypis peregrina,Vermivora peregrina,Leiothlypis peregrina,0,
Louisiana Waterthrush,Parkesia motacilla,Seiurus motacilla,Parkesia motacilla,0,
Carolina Chickadee,Poecile carolinensis,Parus carolinensis,Poecile carolinensis,0,
Pine Warbler,Setophaga pinus,Dendroica pinus,Setophaga pinus,0,
Palm Warbler,Setophaga palmarum,Dendroica palmarum,Setophaga palmarum,0,
Black-throated Green Warbler,Setophaga virens,Dendroica virens,Setophaga virens,0,
Canada Warbler,Cardellina canadensis,Wilsonia canadensis,Cardellina canadensis,0,
Nashville Warbler,Leiothlypis ruficapilla,Vermivora ruficapilla,Leiothlypis ruficapilla,0,
Blackburnian Warbler,Setophaga fusca,Dendroica fusca,Setophaga fusca,0,
Chestnut-sided Warbler,Setophaga pensylvanica,Dendroica pensylvanica,Setophaga pensylvanica,0,
Kentucky Warbler,Geothlypis formosa,Oporornis formosus,Geothlypis formosa,0,
Magnolia Warbler,Setophaga magnolia,Dendroica magnolia,Setophaga magnolia,0,
Mourning Warbler,Geothlypis philadelphia,Oporornis philadelphia,Geothlypis philadelphia,0,
Bachman's Sparrow,Peucaea aestivalis,Aimophila aestivalis,Peucaea aestivalis,0,
Yellow-throated Warbler,Setophaga dominica,Dendroica dominica,Setophaga dominica,0,
Northern Parula,Setophaga americana,Parula americana,Setophaga americana,0,
Prairie Warbler,Setophaga discolor,Dendroica discolor,Setophaga discolor,0,
Royal Tern,Thalasseus maximus,Sterna maxima,Thalasseus maximus,0,
Cerulean Warbler,Setophaga cerulea,Dendroica cerulea,Setophaga cerulea,0,
Black-throated Blue Warbler,Setophaga caerulescens,Dendroica caerulescens,Setophaga caerulescens,0,
Crescent-chested Warbler,Oreothlypis superciliosa,Parula superciliosa,Oreothlypis superciliosa,0,
Black Scoter,Melanitta americana,Melanitta nigra,Melanitta americana,0,
Boreal Chickadee,Poecile hudsonicus,Parus hudsonicus,Poecile hudsonicus,0,
Victorin's Warbler,Cryptillas victorini,Bradypterus victorini,Cryptillas victorini,0,
Calliope Hummingbird,Selasphorus calliope,Stellula calliope,Selasphorus calliope,0,
Black-chinned Siskin,Spinus barbatus,Carduelis barbata,Spinus barbatus,0,
Black-faced Grassquit,Melanospiza bicolor,Tiaris bicolor,Melanospiza bicolor,0,
Hooded Siskin,Spinus magellanicus,Carduelis magellanica,Spinus magellanicus,0,
Spruce Grouse,Canachites canadensis,Dendragapus canadensis,Canachites canadensis,0,
Greater Antillean Bullfinch,Melopyrrha violacea,Loxigilla violacea,Melopyrrha violacea,0,
Hawaii Amakihi,Chlorodrepanis virens,Hemignathus virens,Chlorodrepanis virens,0,
Golden-cheeked Warbler,Setophaga chrysoparia,Dendroica chrysoparia,Setophaga chrysoparia,0,
Cassin's Sparrow,Peucaea cassinii,Aimophila cassinii,Peucaea cassinii,0,
Ross's Goose,Anser rossii,Chen rossii,Anser rossii,0,
Bay Wren,Cantorchilus nigricapillus,Thryothorus nigricapillus,Cantorchilus nigricapillus,0,
Buff-rumped Warbler,Myiothlypis fulvicauda,Phaeothlypis fulvicauda,Myiothlypis fulvicauda,0,
Riverside Wren,Cantorchilus semibadius,Thryothorus semibadius,Cantorchilus semibadius,0,
Rufous-and-white Wren,Thryophilus rufalbus,Thryothorus rufalbus,Thryophilus rufalbus,0,
Buff-breasted Wren,Cantorchilus leucotis,Thryothorus leucotis,Cantorchilus leucotis,0,
Akiapolaau,Hemignathus wilsoni,Hemignathus munroi,Hemignathus wilsoni,0,
Oahu Amakihi,Chlorodrepanis flava,Hemignathus flavus,Chlorodrepanis flava,0,
Grace's Warbler,Setophaga graciae,Dendroica graciae,Setophaga graciae,0,
Wandering Tattler,Tringa incana,Heteroscelus incanus,Tringa incana,0,
Hermit Warbler,Setophaga occidentalis,Dendroica occidentalis,Setophaga occidentalis,0,
Oriental Greenfinch,Chloris sinica,Carduelis sinica,Chloris sinica,0,
Berylline Hummingbird,Saucerottia beryllina,Amazilia beryllina,Saucerottia beryllina,0,
Crimson-fronted Parakeet,Psittacara finschi,Aratinga finschi,Psittacara finschi,0,
Gray-chested Dove,Leptotila cassinii,Leptotila cassini,Leptotila cassinii,0,
Banded Wren,Thryophilus pleurostictus,Thryothorus pleurostictus,Thryophilus pleurostictus,0,
Gray Francolin,Ortygornis pondicerianus,Francolinus pondicerianus,Ortygornis pondicerianus,0,
Galah,Eolophus roseicapilla,Cacatua roseicapilla,Eolophus roseicapilla,0,
Yellow-faced Honeyeater,Caligavis chrysops,Lichenostomus chrysops,Caligavis chrysops,0,
White-eared Honeyeater,Nesoptilotis leucotis,Lichenostomus leucotis,Nesoptilotis leucotis,0,
White-plumed Honeyeater,Ptilotula penicillata,Lichenostomus penicillatus,Ptilotula penicillata,0,
Singing Honeyeater,Gavicalis virescens,Lichenostomus virescens,Gavicalis virescens,0,
Flavescent Warbler,Myiothlypis flaveola,Basileuterus flaveolus,Myiothlypis flaveola,0,
Riverbank Warbler,Myiothlypis rivularis,Phaeothlypis rivularis,Myiothlypis rivularis,0,
Gray-winged Francolin,Scleroptila afra,Francolinus africanus,Scleroptila afra,0,
White-bellied Hummingbird,Elliotomyia chionogaster,Amazilia chionogaster,Elliotomyia chionogaster,0,
White-eared Monarch,Carterornis leucotis,Monarcha leucotis,Carterornis leucotis,0,
Band-winged Nightjar,Systellura longirostris,Caprimulgus longirostris,Systellura longirostris,1,
Scaled Chachalaca,Ortalis squamata,Ortalis guttata,Ortalis squamata,0,
Tropical Parula,Setophaga pitiayumi,Parula pitiayumi,Setophaga pitiayumi,0,
White-browed Warbler,Myiothlypis leucoblephara,Basileuterus leucoblepharus,Myiothlypis leucoblephara,0,
White-eyed Parakeet,Psittacara leucophthalmus,Aratinga leucophthalma,Psittacara leucophthalmus,0,
Sooty Grassquit,Asemospiza fuliginosa,Tiaris fuliginosus,Asemospiza fuliginosa,0,
Cactus Parakeet,Eupsittula cactorum,Aratinga cactorum,Eupsittula cactorum,0,
Malachite Kingfisher,Corythornis cristatus,Alcedo cristata,Corythornis cristatus,0,
Masked Laughingthrush,Pterorhinus perspicillatus,Garrulax perspicillatus,Pterorhinus perspicillatus,0,
Marsh Tit,Poecile palustris,Parus palustris,Poecile palustris,0,
Gadwall,Mareca strepera,Anas strepera,Mareca strepera,0,
Willow Tit,Poecile montanus,Parus montanus,Poecile montanus,0,
Coal Tit,Periparus ater,Parus ater,Periparus ater,0,
Crested Tit,Lophophanes cristatus,Parus cristatus,Lophophanes cristatus,0,
Little Crake,Zapornia parva,Porzana parva,Zapornia parva,0,
Black Sunbird,Leptocoma aspasia,Nectarinia aspasia,Leptocoma aspasia,0,
Lesser Spotted Eagle,Clanga pomarina,Aquila pomarina,Clanga pomarina,0,
Baillon's Crake,Zapornia pusilla,Porzana pusilla,Zapornia pusilla,0,
Scarlet Robin,Petroica boodang,Petroica multicolor,Petroica boodang,0,
African Blue Tit,Cyanistes teneriffae,Parus teneriffae,Cyanistes teneriffae,0,
Willet,Tringa semipalmata,Catoptrophorus semipalmatus,Tringa semipalmata,0,0
Northern Harrier,Circus hudsonius,Circus cyaneus,Circus hudsonius,0,0
Little Tern,Sternula albifrons,Sterna albifrons,Sternula albifrons,0,0
Winter Wren,Troglodytes hiemalis,Troglodytes troglodytes,Troglodytes hiemalis,0,1
Blue-winged Warbler,Vermivora cyanoptera,Vermivora pinus,Vermivora cyanoptera,0,0
Clapper Rail,Rallus crepitans,Rallus longirostris,Rallus crepitans,0,0
Scrub Blackbird,Dives warczewiczi,Dives warszewiczi,Dives warczewiczi,0,
Blue-black Grosbeak,Cyanoloxia cyanoides,Cyanocompsa cyanoides,Cyanoloxia cyanoides,0,
Chestnut-backed Antbird,Poliocrania exsul,Myrmeciza exsul,Poliocrania exsul,0,
Lesser Greenlet,Pachysylvia decurtata,Hylophilus decurtatus,Pachysylvia decurtata,0,
Mottled Owl,Ciccaba virgata,Strix virgata,Ciccaba virgata,1,
Plumbeous Hawk,Cryptoleucopteryx plumbea,Leucopternis plumbeus,Cryptoleucopteryx plumbea,0,
McGregor's Cuckooshrike,Malindangia mcgregori,Coracina mcgregori,Malindangia mcgregori,0,
Striped Woodhaunter,Automolus subulatus,Hyloctistes subulatus,Automolus subulatus,0,
Rainbow Lorikeet,Trichoglossus moluccanus,Trichoglossus haematodus,Trichoglossus moluccanus,0,
Little Grassbird,Poodytes gramineus,Megalurus gramineus,Poodytes gramineus,0,
New Zealand Fernbird,Poodytes punctatus,Bowdleria punctata,Poodytes punctatus,0,
Spotless Crake,Zapornia tabuensis,Porzana tabuensis,Zapornia tabuensis,0,
Striped Owl,Asio clamator,Pseudoscops clamator,Asio clamator,1,
Fire-crested Alethe,Alethe castanea,Alethe diademata,Alethe castanea,0,
Cape White-eye,Zosterops virens,Zosterops pallidus,Zosterops virens,0,
Bronze Mannikin,Spermestes cucullata,Lonchura cucullata,Spermestes cucullata,0,
Gray Tit-Flycatcher,Fraseria plumbea,Myioparus plumbeus,Fraseria plumbea,0,
Southern Black-Tit,Melaniparus niger,Parus niger,Melaniparus niger,0,
Southern Ground-Hornbill,Bucorvus leadbeateri,Bucorvus cafer,Bucorvus leadbeateri,0,
Swinhoe's White-eye,Zosterops simplex,Zosterops japonicus,Zosterops simplex,0,
Eurasian Blue Tit,Cyanistes caeruleus,Parus caeruleus,Cyanistes caeruleus,0,1
Italian Sparrow,Passer italiae,Passer domesticus,Passer italiae,0,
Himalayan Owl,Strix nivicolum,Strix aluco,Strix nivicolum,1,
Middendorff's Grasshopper Warbler,Helopsaltes ochotensis,Locustella ochotensis,Helopsaltes ochotensis,0,
Itatiaia Spinetail,Asthenes moreirae,Oreophylax moreirae,Asthenes moreirae,0,
Common Gallinule,Gallinula galeata,Gallinula chloropus,Gallinula galeata,0,0
Wilson's Snipe,Gallinago delicata,Gallinago gallinago,Gallinago delicata,0,0
Pacific Wren,Troglodytes pacificus,Troglodytes troglodytes,Troglodytes pacificus,0,1
Ridgway's Rail,Rallus obsoletus,Rallus longirostris,Rallus obsoletus,0,0
Gray Silky-flycatcher,Ptiliogonys cinereus,Ptilogonys cinereus,Ptiliogonys cinereus,0,
Northern Shrike,Lanius borealis,Lanius excubitor,Lanius borealis,0,0
Audubon's Warbler,Setophaga auduboni,Dendroica coronata,Setophaga auduboni,0,0
Common Chlorospingus,Chlorospingus flavopectus,Chlorospingus ophthalmicus,Chlorospingus flavopectus,0,
Gray-cowled Wood-Rail,Aramides cajaneus,Aramides cajanea,Aramides cajaneus,0,
Black-crowned Pitta,Erythropitta ussheri,Pitta ussheri,Erythropitta ussheri,0,
Mexican Whip-poor-will,Antrostomus arizonae,Caprimulgus vociferus,Antrostomus arizonae,1,0
Mistletoe Tyrannulet,Zimmerius parvus,Zimmerius chrysops,Zimmerius parvus,0,
Chivi Vireo,Vireo chivi,Vireo olivaceus,Vireo chivi,0,0
Lesson's Motmot,Momotus lessonii,Momotus momota,Momotus lessonii,0,
Morelet's Seedeater,Sporophila morelleti,Sporophila torqueola,Sporophila morelleti,0,
Whooping Motmot,Momotus subrufescens,Momotus momota,Momotus subrufescens,0,
Blyth's Shrike-Babbler,Pteruthius aeralatus,Pteruthius flaviscapis,Pteruthius aeralatus,0,
Tatama Tapaculo,Scytalopus alvarezlopezi,Scytalopus stilesi,Scytalopus alvarezlopezi,0,
Costa Rican Warbler,Basileuterus melanotis,Basileuterus tristriatus,Basileuterus melanotis,0,
Himalayan Black-lored Tit,Machlolophus xanthogenys,Parus xanthogenys,Machlolophus xanthogenys,0,
Cinnamon-bellied Saltator,Saltator grandis,Saltator coerulescens,Saltator grandis,0,
Common Cicadabird,Edolisoma tenuirostre,Coracina tenuirostris,Edolisoma tenuirostre,0,
Gray Fantail,Rhipidura albiscapa,Rhipidura fuliginosa,Rhipidura albiscapa,0,
Red-collared Lorikeet,Trichoglossus rubritorquis,Trichoglossus haematodus,Trichoglossus rubritorquis,0,
North Island Kokako,Callaeas wilsoni,Callaeas cinereus,Callaeas wilsoni,0,
African Hoopoe,Upupa africana,Upupa epops,Upupa epops,0,
Southern Red-billed Hornbill,Tockus rufirostris,Tockus erythrorhynchus,Tockus erythrorhynchus,0,
Iberian Green Woodpecker,Picus sharpei,Picus viridis,Picus viridis,0,1
Black-headed Gull,Chroicocephalus ridibundus,Larus ridibundus,Larus ridibundus,0,0
Colombian Chachalaca,Ortalis columbiana,Ortalis guttata,Ortalis guttata,0,
Mediterranean Gull,Ichthyaetus melanocephalus,Larus melanocephalus,Larus melanocephalus,0,0
Great Skua,Stercorarius skua,Catharacta skua,Catharacta skua,0,0
Mexican Jay,Aphelocoma wollweberi,Aphelocoma ultramarina,Aphelocoma ultramarina,0,0
Wilson's Phalarope,Phalaropus tricolor,Steganopus tricolor,Steganopus tricolor,0,0
Bonaparte's Gull,Chroicocephalus philadelphia,Larus philadelphia,Larus philadelphia,0,0
Franklin's Gull,Leucophaeus pipixcan,Larus pipixcan,Larus pipixcan,0,0
Black Scoter,Melanitta americana,Melanitta nigra,Melanitta nigra,0,0
Short-billed Gull,Larus brachyrhynchus,Larus canus,Larus canus,0,0
Brown Jay,Psilorhinus morio,Cyanocorax morio,Cyanocorax morio,0,0
Scaled Chachalaca,Ortalis squamata,Ortalis guttata,Ortalis guttata,0,0
Streak-eared Bulbul,Pycnonotus conradi,Pycnonotus blanfordi,Pycnonotus blanfordi,0,
Abbott's Babbler,Turdinus abbotti,Malacocincla abbotti,Malacocincla abbotti,0,
Alpine Swift,Apus melba,Tachymarptis melba,Tachymarptis melba,0,
Scarlet Robin,Petroica boodang,Petroica multicolor,Petroica multicolor,0,
Compact Weaver,Pachyphantes superciliosus,Ploceus superciliosus,Ploceus superciliosus,0,
Sandhill Crane,Antigone canadensis,Grus canadensis,Grus canadensis,0,0
Northern Harrier,Circus hudsonius,Circus cyaneus,Circus cyaneus,0,0
Winter Wren,Troglodytes hiemalis,Troglodytes troglodytes,Troglodytes troglodytes,0,1
Laughing Gull,Leucophaeus atricilla,Larus atricilla,Larus atricilla,0,0
Clapper Rail,Rallus crepitans,Rallus longirostris,Rallus longirostris,0,0
Rainbow Lorikeet,Trichoglossus moluccanus,Trichoglossus haematodus,Trichoglossus haematodus,0,
Silver Gull,Chroicocephalus novaehollandiae,Larus novaehollandiae,Larus novaehollandiae,0,0
White-spotted Woodpecker,Dryobates spilogaster,Veniliornis spilogaster,Veniliornis spilogaster,0,1
Fire-crested Alethe,Alethe castanea,Alethe diademata,Alethe diademata,0,
Cape White-eye,Zosterops virens,Zosterops pallidus,Zosterops pallidus,0,
Tropical Boubou,Laniarius major,Laniarius aethiopicus,Laniarius aethiopicus,0,
Swinhoe's White-eye,Zosterops simplex,Zosterops japonicus,Zosterops japonicus,0,
Japanese Tit,Parus minor,Parus major,Parus major,0,1
Hooded Crow,Corvus cornix,Corvus corone,Corvus corone,0,0
European Stonechat,Saxicola rubicola,Saxicola torquatus,Saxicola torquatus,0,
Tundra Bean-Goose,Anser serrirostris,Anser fabalis,Anser fabalis,0,0
Italian Sparrow,Passer italiae,Passer domesticus,Passer domesticus,0,
Himalayan Owl,Strix nivicolum,Strix aluco,Strix aluco,1,
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Aphelocoma californica,Aphelocoma californica,0,0
Common Gallinule,Gallinula galeata,Gallinula chloropus,Gallinula chloropus,0,0
Wilson's Snipe,Gallinago delicata,Gallinago gallinago,Gallinago gallinago,0,0
Pacific Wren,Troglodytes pacificus,Troglodytes troglodytes,Troglodytes troglodytes,0,1
Ridgway's Rail,Rallus obsoletus,Rallus longirostris,Rallus longirostris,0,0
Northern Shrike,Lanius borealis,Lanius excubitor,Lanius excubitor,0,0
Mistletoe Tyrannulet,Zimmerius parvus,Zimmerius chrysops,Zimmerius chrysops,0,
Chivi Vireo,Vireo chivi,Vireo olivaceus,Vireo olivaceus,0,0
Lesson's Motmot,Momotus lessonii,Momotus momota,Momotus momota,0,
Morelet's Seedeater,Sporophila morelleti,Sporophila torqueola,Sporophila torqueola,0,
Whooping Motmot,Momotus subrufescens,Momotus momota,Momotus momota,0,
Blyth's Shrike-Babbler,Pteruthius aeralatus,Pteruthius flaviscapis,Pteruthius flaviscapis,0,
Tatama Tapaculo,Scytalopus alvarezlopezi,Scytalopus stilesi,Scytalopus stilesi,0,
Costa Rican Warbler,Basileuterus melanotis,Basileuterus tristriatus,Basileuterus tristriatus,0,
Utcubamba Tapaculo,Scytalopus intermedius,Scytalopus latrans,Scytalopus latrans,0,
Cinnamon-bellied Saltator,Saltator grandis,Saltator coerulescens,Saltator coerulescens,0,
Australasian Swamphen,Porphyrio melanotus,Porphyrio porphyrio,Porphyrio porphyrio,0,
Gray Fantail,Rhipidura albiscapa,Rhipidura fuliginosa,Rhipidura fuliginosa,0,
Red-collared Lorikeet,Trichoglossus rubritorquis,Trichoglossus haematodus,Trichoglossus haematodus,0,
North Island Kokako,Callaeas wilsoni,Callaeas cinereus,Callaeas cinereus,0,
African Gray Woodpecker,Chloropicus goertae,Mesopicos goertae,Dendropicos goertae,0,1
American Three-toed Woodpecker,Picoides dorsalis,Picoides dorsalis,Picoides tridactylus,0,1
American Tree Sparrow,Spizelloides arborea,Spizella arborea,Passerella arborea,0,0
American Yellow Warbler,Setophaga aestiva,Dendroica aestiva,Setophaga petechia,0,0
Australian Ibis,Threskiornis molucca,Threskiornis molucca,Threskiornis moluccus,0,
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,Calyptorhynchus baudinii,Zanda baudinii,0,
Black Butcherbird,Cracticus quoyi,Cracticus quoyi,Melloria quoyi,0,
Black Grouse,Tetrao tetrix,Tetrao tetrix,Lyrurus tetrix,0,0
Black Oystercatcher,Haematopus bachmani,Haematopus bachmani,Haematopus ater,0,0
Black-and-gold Cotinga,Tijuca atra,Tijuca atra,Lipaugus ater,0,
Black-necked Stilt,Himantopus mexicanus,Himantopus mexicanus,Himantopus himantopus,0,0
Black-shouldered Nightjar,Caprimulgus nigriscapularis,Caprimulgus nigriscapularis,Caprimulgus pectoralis,1,
Blue-gray Tanager,Thraupis episcopus,Thraupis episcopus,Tangara episcopus,0,0
Bullock's Oriole,Icterus bullockii,Icterus bullockii,Icterus galbula,0,0
Cape Robin-Chat,Cossypha caffra,Cossypha caffra,Dessonornis caffer,0,
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,Calyptorhynchus latirostris,Zanda latirostris,0,
Chimango Caracara,Milvago chimango,Milvago chimango,Phalcoboenus chimango,0,0
Crested Francolin,Dendroperdix sephaena,Francolinus sephaena,Ortygornis sephaena,0,
Double-crested Cormorant,Phalacrocorax auritus,Phalacrocorax auritus,Nannopterum auritum,0,0
Evening Grosbeak,Coccothraustes vespertinus,Coccothraustes vespertinus,Hesperiphona vespertina,0,0
Gartered Trogon,Trogon caligatus,Trogon caligatus,Trogon violaceus,0,1
Gray Cuckooshrike,Coracina caesia,Coracina caesia,Ceblepyris caesius,0,
Greater Whitethroat,Sylvia communis,Sylvia communis,Curruca communis,0,0
Green Heron,Butorides virescens,Butorides virescens,Butorides striata,0,0
Hairy Woodpecker,Dryobates villosus,Picoides villosus,Leuconotopicus villosus,0,1
Henslow's Sparrow,Centronyx henslowii,Ammodramus henslowii,Passerculus henslowii,0,0
Hoary Redpoll,Acanthis hornemanni,Carduelis hornemanni,Acanthis flammea,0,0
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Chrysococcyx basalis,Chalcites basalis,0,
Laughing Dove,Streptopelia senegalensis,Stigmatopelia senegalensis,Spilopelia senegalensis,0,0
Leach's Storm-Petrel,Oceanodroma leucorhoa,Oceanodroma leucorhoa,Hydrobates leucorhous,0,1
Lesser Redpoll,Acanthis cabaret,Carduelis flammea,Acanthis flammea,0,0
Lesser Whitethroat,Sylvia curruca,Sylvia curruca,Curruca curruca,0,0
Lineated Woodpecker,Dryocopus lineatus,Dryocopus lineatus,Hylatomus lineatus,0,1
Little Bronze-Cuckoo,Chrysococcyx minutillus,Chrysococcyx minutillus,Chalcitesï¿½minutillus,0,
